time_ms,x,y,target_x,target_y,target_w,start_flag,end_flag
157,392.0,783.0,2403.0,787.0,40.0,0,0
172,392.0,783.0,2403.0,787.0,40.0,0,0
187,392.0,783.0,2403.0,787.0,40.0,0,0
203,396.0,783.0,2403.0,787.0,40.0,0,0
218,409.0,784.0,2403.0,787.0,40.0,0,0
234,434.0,787.0,2403.0,787.0,40.0,0,0
250,472.0,789.0,2403.0,787.0,40.0,0,0
265,510.0,789.0,2403.0,787.0,40.0,0,0
281,549.0,787.0,2403.0,787.0,40.0,0,0
296,584.0,785.0,2403.0,787.0,40.0,0,0
312,619.0,784.0,2403.0,787.0,40.0,0,0
326,650.0,784.0,2403.0,787.0,40.0,0,0
343,683.0,785.0,2403.0,787.0,40.0,0,0
359,709.0,788.0,2403.0,787.0,40.0,0,0
373,731.0,791.0,2403.0,787.0,40.0,0,0
389,750.0,795.0,2403.0,787.0,40.0,0,0
404,768.0,798.0,2403.0,787.0,40.0,0,0
420,789.0,801.0,2403.0,787.0,40.0,0,0
436,811.0,802.0,2403.0,787.0,40.0,0,0
452,832.0,802.0,2403.0,787.0,40.0,0,0
467,851.0,802.0,2403.0,787.0,40.0,0,0
482,871.0,802.0,2403.0,787.0,40.0,0,0
498,893.0,802.0,2403.0,787.0,40.0,0,0
513,917.0,802.0,2403.0,787.0,40.0,0,0
529,945.0,802.0,2403.0,787.0,40.0,0,0
545,973.0,802.0,2403.0,787.0,40.0,0,0
560,998.0,803.0,2403.0,787.0,40.0,0,0
576,1028.0,803.0,2403.0,787.0,40.0,0,0
591,1061.0,804.0,2403.0,787.0,40.0,0,0
607,1096.0,805.0,2403.0,787.0,40.0,0,0
623,1127.0,805.0,2403.0,787.0,40.0,0,0
638,1157.0,802.0,2403.0,787.0,40.0,0,0
654,1181.0,800.0,2403.0,787.0,40.0,0,0
669,1202.0,800.0,2403.0,787.0,40.0,0,0
684,1223.0,800.0,2403.0,787.0,40.0,0,0
700,1246.0,799.0,2403.0,787.0,40.0,0,0
715,1267.0,799.0,2403.0,787.0,40.0,0,0
731,1287.0,799.0,2403.0,787.0,40.0,0,0
747,1305.0,798.0,2403.0,787.0,40.0,0,0
